[prof] Detailmessung beendet.
== Abschnitte ==
Name              CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
------------------------------------------------------------------------
creeps                6.87        6.87          1.00     10.01     74.7%
timing                1.62        1.62          1.00      7.23     17.6%
timing.spawn          1.09        5.47          0.20      6.56     11.9%
timing.tower          0.40        0.40          1.00      2.28      4.3%
timing.terminal       0.11        0.11          1.00      0.21      1.2%
rooms                 0.03        0.03          1.00      0.08      0.4%
timing.defence        0.01        0.05          0.14      0.07      0.1%
timing.status         0.00        0.03          0.08      0.04      0.0%
timing.daily          0.00        0.00          1.00      0.00      0.0%

== Rollen ==
Name         CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
-------------------------------------------------------------------
debitor          3.56        0.27         13.00      1.35     38.7%
miner            1.02        0.07         15.00      0.69     11.1%
wally            1.02        0.34          3.00      0.66     11.1%
claimer          0.45        0.22          2.00      0.35      4.9%
defender         0.31        0.15          2.00      2.22      3.4%
upgrader         0.29        0.06          5.24      0.50      3.1%
linkkeeper       0.10        0.02          4.00      0.24      1.0%

== Methoden ==
Name                CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
--------------------------------------------------------------------------
Debitor.doJob           3.54        0.27         13.00      1.35     38.5%
Wally.doJob             1.01        0.34          3.00      0.66     11.0%
Miner.doJob             1.01        0.07         15.00      0.69     11.0%
Claimer.doJob           0.44        0.22          2.00      0.35      4.8%
Wally._repair           0.41        0.16          2.64      0.60      4.5%
Defender.doJob          0.31        0.15          2.00      2.21      3.3%
Upgrader.doJob          0.28        0.05          5.24      0.50      3.1%
Miner.spawn             0.24        0.05          4.80      0.66      2.7%
Miner._spawn            0.22        0.03          8.40      0.65      2.4%
Debitor.spawn           0.15        0.03          4.80      0.12      1.6%
Debitor._spawn          0.13        0.03          4.20      0.12      1.5%
Wally.spawn             0.11        0.02          4.78      0.19      1.2%
LinkKeeper.doJob        0.09        0.02          4.00      0.24      1.0%
Builder.spawn           0.08        0.02          4.78      0.11      0.8%
Claimer.spawn           0.06        0.01          4.78      0.16      0.7%
Upgrader.spawn          0.05        0.01          4.78      0.04      0.6%
LinkKeeper.spawn        0.05        0.01          4.80      0.06      0.6%
Defender.spawn          0.00        0.00          4.78      0.00      0.0%
ExtUpgrader.spawn       0.00        0.00          4.78      0.00      0.0%
Repairer.spawn          0.00        0.00          4.78      0.00      0.0%
Transfer.spawn          0.00        0.00          4.80      0.00      0.0%

== Creeps ==
Name                  CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
----------------------------------------------------------------------------
debitor_82036750          0.49        0.49          1.00      0.77      5.3%
wally_82037175            0.40        0.40          1.00      0.57      4.4%
debitor_82037685          0.40        0.40          1.00      0.82      4.3%
miner_82036990            0.39        0.39          1.00      0.54      4.3%
debitor_82037220          0.39        0.39          1.00      0.57      4.2%
debitor_82037630          0.37        0.37          1.00      0.56      4.0%
wally_82036725            0.36        0.36          1.00      0.66      4.0%
debitor_82037010          0.30        0.30          1.00      1.35      3.3%
debitor_82037500          0.26        0.26          1.00      1.10      2.9%
debitor_82037100          0.26        0.26          1.00      0.99      2.9%
debitor_82037250          0.26        0.26          1.00      0.60      2.8%
wally_82037130            0.25        0.25          1.00      0.31      2.7%
debitor_82037395          0.25        0.25          1.00      0.81      2.7%
debitor_82037060          0.25        0.25          1.00      0.85      2.7%
debitor_82037540          0.24        0.24          1.00      0.66      2.7%
claimer_82037940          0.23        0.23          1.00      0.35      2.5%
claimer_82038025          0.22        0.22          1.00      0.27      2.3%
defender_82037895         0.20        0.20          1.00      2.22      2.2%
miner_82037750            0.15        0.15          1.00      0.56      1.6%
miner_82036915            0.15        0.15          1.00      0.69      1.6%
miner_82037645            0.14        0.14          1.00      0.57      1.6%
upgrader_82038065         0.13        0.13          1.00      0.50      1.4%
defender_82037900         0.11        0.11          1.00      0.24      1.2%
miner_82036820            0.06        0.06          1.00      0.32      0.7%
debitor_82036795          0.05        0.05          1.00      0.15      0.6%
upgrader_82036810         0.04        0.04          1.00      0.32      0.4%
upgrader_82037345         0.04        0.04          1.00      0.26      0.4%
upgrader_82036965         0.04        0.04          1.00      0.25      0.4%
upgrader_82037365         0.03        0.03          1.00      0.26      0.4%
debitor_82036900          0.03        0.03          1.00      0.06      0.4%
linkkeeper_82037885       0.03        0.03          1.00      0.24      0.3%
linkkeeper_82037580       0.03        0.03          1.00      0.24      0.3%
miner_82036885            0.03        0.03          1.00      0.26      0.3%
linkkeeper_82037575       0.02        0.02          1.00      0.20      0.3%
miner_82037310            0.02        0.02          1.00      0.04      0.2%
upgrader_82036580         0.02        0.06          0.24      0.31      0.2%
miner_82037110            0.01        0.01          1.00      0.05      0.2%
linkkeeper_82037665       0.01        0.01          1.00      0.02      0.1%
miner_82036955            0.01        0.01          1.00      0.05      0.1%
miner_82036960            0.01        0.01          1.00      0.02      0.1%
miner_82037445            0.01        0.01          1.00      0.04      0.1%
miner_82037705            0.01        0.01          1.00      0.04      0.1%
miner_82037100            0.01        0.01          1.00      0.02      0.1%
miner_82037815            0.01        0.01          1.00      0.02      0.1%
miner_82037465            0.01        0.01          1.00      0.04      0.1%
