[shard3][prof] Detailmessung beendet.
== Abschnitte ==
Name              CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
------------------------------------------------------------------------
creeps                7.90        7.90          1.00     11.23     76.1%
timing                1.79        0.90          2.00      8.85     17.3%
timing.spawn          1.06        5.30          0.20      8.18     10.2%
timing.tower          0.45        0.45          1.00      1.81      4.3%
timing.terminal       0.13        0.13          1.00      0.23      1.2%
timing.links          0.12        0.12          1.00      0.37      1.1%
rooms                 0.02        0.02          1.00      0.04      0.2%
timing.defence        0.02        0.02          1.00      0.03      0.2%
timing.status         0.00        0.04          0.10      0.09      0.0%
timing.daily          0.00        0.00          1.00      0.04      0.0%

== Rollen ==
Name         CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
-------------------------------------------------------------------
debitor          3.64        0.30         12.00      1.23     35.0%
miner            1.08        0.08         13.38      1.17     10.4%
filler           0.94        0.26          3.58      0.96      9.0%
claimer          0.88        0.22          4.00      0.62      8.5%
wally            0.76        0.25          3.00      0.89      7.3%
upgrader         0.29        0.06          5.00      1.94      2.8%
linkkeeper       0.15        0.04          4.00      0.29      1.4%

== Methoden ==
Name                                 CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
-------------------------------------------------------------------------------------------
Debitor.doJob                            3.62        0.30         12.00      1.23     34.9%
Miner.doJob                              1.07        0.08         13.38      1.17     10.3%
Filler.doJob                             0.93        0.26          3.58      0.96      9.0%
Claimer.doJob                            0.88        0.22          4.00      0.62      8.5%
Wally.doJob                              0.76        0.25          3.00      0.89      7.3%
DefenceController.tower                  0.44        0.44          1.00      1.80      4.3%
Upgrader.doJob                           0.28        0.06          5.00      1.94      2.7%
Wally._repair                            0.26        0.13          2.00      0.31      2.5%
Hauler.spawn                             0.24        0.08          2.96      0.27      2.3%
Hauler._spawn                            0.23        0.07          3.08      0.20      2.2%
Miner.spawn                              0.20        0.07          2.96      0.42      1.9%
Miner._spawn                             0.18        0.04          4.90      0.36      1.7%
LinkKeeper.doJob                         0.15        0.04          4.00      0.28      1.4%
TerminalMarket.buyPixel                  0.10        0.10          1.00      0.18      1.0%
Wally.spawn                              0.09        0.03          2.90      0.18      0.9%
Debitor.spawn                            0.08        0.03          2.98      0.67      0.8%
Debitor._spawn                           0.07        0.05          1.44      0.65      0.7%
Builder.spawn                            0.07        0.02          2.90      0.11      0.6%
Claimer.spawn                            0.05        0.02          2.90      0.08      0.5%
Filler.spawn                             0.04        0.01          2.98      0.06      0.4%
LinkKeeper.spawn                         0.04        0.01          2.96      0.08      0.4%
TerminalMarket.averageHistoryPrice       0.04        0.05          0.80      0.10      0.4%
Upgrader.spawn                           0.04        0.01          2.90      0.07      0.4%
DefenceController.check                  0.02        0.02          1.00      0.03      0.2%
Upgrader._mayWork                        0.02        0.00          5.00      0.02      0.2%
TerminalMarket.sell                      0.01        0.01          1.00      0.03      0.1%
Debitor.bodyFor                          0.00        0.18          0.02      0.18      0.0%
DefenceController.resolveTowers          0.00        0.02          0.16      0.09      0.0%
Debitor.recordRoundTrip                  0.00        0.01          0.24      0.09      0.0%
Transfer.spawn                           0.00        0.00          2.96      0.02      0.0%
Repairer.spawn                           0.00        0.00          2.90      0.00      0.0%
Defender.spawn                           0.00        0.00          2.90      0.01      0.0%
ExtUpgrader.spawn                        0.00        0.00          2.90      0.01      0.0%

== Creeps ==
Name                  CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
----------------------------------------------------------------------------
debitor_82059245          0.41        0.41          1.00      0.81      4.0%
debitor_82059395          0.41        0.41          1.00      0.83      4.0%
debitor_82058030          0.38        0.38          1.00      0.88      3.7%
debitor_82059080          0.38        0.38          1.00      1.00      3.6%
filler_82059410           0.35        0.35          1.00      0.96      3.4%
filler_82059400           0.33        0.33          1.00      0.94      3.2%
debitor_82058490          0.30        0.30          1.00      1.19      2.9%
wally_82058210            0.28        0.28          1.00      0.38      2.7%
debitor_82059385          0.27        0.27          1.00      1.23      2.6%
debitor_82059065          0.27        0.27          1.00      0.91      2.6%
debitor_82058890          0.25        0.25          1.00      0.61      2.5%
wally_82058560            0.25        0.25          1.00      0.34      2.4%
debitor_82058635          0.24        0.24          1.00      0.72      2.4%
debitor_82059070          0.24        0.24          1.00      0.78      2.4%
debitor_82058745          0.24        0.24          1.00      0.81      2.4%
wally_82058610            0.24        0.24          1.00      0.89      2.3%
debitor_82058780          0.23        0.23          1.00      0.79      2.2%
claimer_82059185          0.23        0.23          1.00      0.25      2.2%
claimer_82059530          0.22        0.22          1.00      0.62      2.2%
claimer_82059380          0.22        0.22          1.00      0.24      2.1%
claimer_82059515          0.22        0.22          1.00      0.60      2.1%
filler_82059405           0.18        0.18          1.00      0.93      1.7%
miner_82059320            0.16        0.16          1.00      0.50      1.5%
miner_82059315            0.14        0.14          1.00      0.25      1.4%
miner_82058415            0.14        0.14          1.00      0.45      1.4%
miner_82058005            0.13        0.13          1.00      0.51      1.3%
upgrader_82058685         0.12        0.12          1.00      1.94      1.2%
miner_82058320            0.12        0.12          1.00      0.28      1.1%
miner_82059585            0.11        0.38          0.30      1.17      1.1%
miner_82059330            0.10        0.10          1.00      0.22      1.0%
filler_82059460           0.08        0.15          0.58      0.44      0.8%
miner_82058065            0.08        0.08          1.00      0.45      0.7%
upgrader_82058130         0.05        0.05          1.00      0.50      0.5%
linkkeeper_82059475       0.05        0.05          1.00      0.25      0.5%
linkkeeper_82058275       0.04        0.04          1.00      0.29      0.4%
upgrader_82058355         0.04        0.04          1.00      0.31      0.4%
upgrader_82058550         0.04        0.04          1.00      0.25      0.4%
upgrader_82058920         0.04        0.04          1.00      0.24      0.3%
miner_82057970            0.03        0.03          1.00      0.12      0.3%
linkkeeper_82059335       0.03        0.03          1.00      0.24      0.3%
linkkeeper_82059280       0.03        0.03          1.00      0.25      0.3%
miner_82057985            0.02        0.02          1.00      0.06      0.2%
miner_82058030            0.01        0.01          1.00      0.04      0.1%
miner_82059125            0.01        0.01          1.00      0.02      0.1%
miner_82058840            0.01        0.01          1.00      0.02      0.1%
miner_82058145            0.01        0.01          1.00      0.03      0.1%
miner_82057920            0.00        0.03          0.08      0.04      0.0%
