prof] Detailmessung beendet.
== Abschnitte ==
Name              CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
------------------------------------------------------------------------
creeps                7.01        7.01          1.00     11.86     77.0%
timing                1.40        0.70          2.00      4.91     15.4%
timing.spawn          0.72        3.59          0.20      4.68      7.9%
timing.tower          0.40        0.40          1.00      1.79      4.4%
timing.links          0.13        0.13          1.00      0.41      1.4%
timing.terminal       0.12        0.12          1.00      0.21      1.3%
rooms                 0.02        0.02          1.00      0.04      0.2%
timing.defence        0.02        0.02          1.00      0.04      0.2%
timing.daily          0.00        0.00          1.00      0.01      0.0%
timing.status         0.00        0.02          0.10      0.03      0.0%

== Rollen ==
Name         CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
-------------------------------------------------------------------
debitor          3.32        0.30         11.00      1.12     36.5%
miner            1.34        0.10         12.80      1.41     14.7%
wally            0.99        0.33          3.00      0.64     10.8%
claimer          0.67        0.22          3.00      0.26      7.3%
filler           0.22        0.34          0.66      0.88      2.4%
upgrader         0.20        0.04          5.00      0.39      2.2%
linkkeeper       0.12        0.04          3.06      0.27      1.4%

== Methoden ==
Name                      CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
--------------------------------------------------------------------------------
Debitor.doJob                 3.31        0.30         11.00      1.12     36.4%
Miner.doJob                   1.32        0.10         12.80      1.41     14.6%
Wally.doJob                   0.98        0.33          3.00      0.64     10.8%
Claimer.doJob                 0.67        0.22          3.00      0.26      7.3%
Wally._repair                 0.41        0.16          2.58      0.63      4.5%
Filler.doJob                  0.22        0.33          0.66      0.88      2.4%
Upgrader.doJob                0.20        0.04          5.00      0.39      2.2%
Hauler.spawn                  0.17        0.08          2.26      0.37      1.9%
Hauler._spawn                 0.17        0.08          2.00      0.29      1.8%
LinkKeeper.doJob              0.12        0.04          3.06      0.27      1.3%
Miner.spawn                   0.11        0.05          2.26      0.13      1.3%
Miner._spawn                  0.10        0.03          3.24      0.09      1.1%
Wally.spawn                   0.06        0.03          2.22      0.10      0.7%
Claimer.spawn                 0.06        0.03          2.24      0.27      0.6%
Builder.spawn                 0.05        0.02          2.22      0.08      0.6%
Debitor.spawn                 0.05        0.02          2.28      0.14      0.5%
Debitor._spawn                0.04        0.04          0.96      0.13      0.5%
Filler.spawn                  0.04        0.02          2.30      0.45      0.5%
LinkKeeper.spawn              0.04        0.02          2.28      0.41      0.4%
Upgrader.spawn                0.03        0.01          2.22      0.08      0.3%
Upgrader._mayWork             0.02        0.00          5.00      0.03      0.3%
Repairer.spawn                0.00        0.00          2.22      0.03      0.0%
Defender.spawn                0.00        0.00          2.22      0.00      0.0%
Transfer.spawn                0.00        0.00          2.26      0.00      0.0%
ExtUpgrader.spawn             0.00        0.00          2.22      0.00      0.0%
Debitor.recordRoundTrip       0.00        0.00          0.24      0.01      0.0%

== Creeps ==
Name                  CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
----------------------------------------------------------------------------
debitor_82057875          0.52        0.52          1.00      1.12      5.7%
wally_82058610            0.40        0.40          1.00      0.64      4.4%
debitor_82059245          0.37        0.37          1.00      0.88      4.1%
debitor_82059080          0.37        0.37          1.00      1.07      4.1%
debitor_82058030          0.36        0.36          1.00      1.01      4.0%
wally_82058210            0.31        0.31          1.00      0.60      3.4%
wally_82058560            0.28        0.28          1.00      0.49      3.1%
debitor_82058780          0.27        0.27          1.00      1.05      3.0%
debitor_82058635          0.26        0.26          1.00      0.74      2.8%
debitor_82059070          0.24        0.24          1.00      0.80      2.7%
debitor_82058490          0.24        0.24          1.00      0.48      2.7%
debitor_82059065          0.23        0.23          1.00      0.37      2.6%
debitor_82058890          0.23        0.23          1.00      0.72      2.5%
claimer_82058915          0.23        0.23          1.00      0.26      2.5%
filler_82059400           0.22        0.34          0.66      0.88      2.4%
debitor_82058745          0.22        0.22          1.00      0.81      2.4%
claimer_82059380          0.22        0.22          1.00      0.24      2.4%
claimer_82059185          0.22        0.22          1.00      0.26      2.4%
miner_82058840            0.15        0.15          1.00      0.46      1.6%
miner_82058145            0.14        0.14          1.00      0.46      1.6%
miner_82059125            0.14        0.14          1.00      0.45      1.5%
miner_82057920            0.14        0.14          1.00      0.49      1.5%
miner_82059315            0.13        0.23          0.56      1.12      1.4%
miner_82057970            0.13        0.13          1.00      0.71      1.4%
miner_82057985            0.12        0.12          1.00      0.26      1.3%
miner_82058065            0.11        0.11          1.00      0.47      1.2%
miner_82059320            0.08        0.18          0.46      0.60      0.9%
miner_82059330            0.08        0.31          0.26      1.41      0.9%
miner_82058005            0.06        0.06          1.00      0.23      0.7%
upgrader_82058130         0.05        0.05          1.00      0.27      0.5%
linkkeeper_82059280       0.04        0.04          1.00      0.26      0.5%
linkkeeper_82058275       0.04        0.04          1.00      0.26      0.5%
upgrader_82058355         0.04        0.04          1.00      0.27      0.4%
upgrader_82058920         0.04        0.04          1.00      0.39      0.4%
upgrader_82058550         0.04        0.04          1.00      0.25      0.4%
upgrader_82058685         0.04        0.04          1.00      0.25      0.4%
linkkeeper_82059335       0.03        0.03          1.00      0.27      0.4%
miner_82058320            0.02        0.02          1.00      0.44      0.3%
miner_82057820            0.02        0.04          0.52      0.28      0.2%
miner_82058030            0.01        0.01          1.00      0.07      0.2%
miner_82058415            0.01        0.01          1.00      0.02      0.1%
linkkeeper_82057890       0.01        0.11          0.06      0.27      0.1%
