== Abschnitte ==
Name              CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
------------------------------------------------------------------------
creeps                8.54        8.54          1.00     17.97     76.9%
timing                1.85        0.93          2.00      8.72     16.7%
timing.spawn          1.22        6.05          0.20      8.46     11.0%
timing.tower          0.33        0.33          1.00      1.69      2.9%
timing.links          0.16        0.16          1.00      1.84      1.4%
timing.terminal       0.11        0.11          1.00      0.22      1.0%
rooms                 0.02        0.02          1.00      0.03      0.2%
timing.defence        0.02        0.02          1.00      0.04      0.1%
timing.daily          0.00        0.00          1.00      0.00      0.0%
timing.status         0.00        0.01          0.09      0.01      0.0%

== Rollen ==
Name         CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
-------------------------------------------------------------------
debitor          1.76        0.17         10.51      1.50     15.8%
miner            1.60        0.11         14.12      1.20     14.4%
filler           1.36        0.35          3.92      1.22     12.3%
upgrader         1.12        0.25          4.55      0.70     10.1%
claimer          1.01        0.22          4.62      1.02      9.1%
wally            0.67        0.35          1.94      1.37      6.0%
collector        0.39        0.10          4.00      0.92      3.5%
linkkeeper       0.18        0.06          3.00      0.46      1.6%
defender         0.11        0.06          2.00      0.35      1.0%

== Methoden ==
Name                                 CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
-------------------------------------------------------------------------------------------
Debitor.doJob                            1.75        0.17         10.51      1.50     15.7%
Miner.doJob                              1.59        0.11         14.12      1.20     14.3%
Filler.doJob                             1.36        0.35          3.92      1.21     12.2%
Upgrader.doJob                           1.11        0.24          4.55      0.70     10.0%
Claimer.doJob                            1.01        0.22          4.62      1.02      9.1%
Wally.doJob                              0.67        0.34          1.94      1.37      6.0%
Collector.doJob                          0.39        0.10          4.00      0.92      3.5%
Wally._repair                            0.34        0.19          1.76      1.36      3.1%
DefenceController.tower                  0.32        0.32          1.00      1.69      2.9%
Collector._collect                       0.29        0.08          3.78      0.87      2.6%
Hauler.spawn                             0.26        0.07          3.44      0.38      2.3%
Hauler._spawn                            0.25        0.07          3.54      0.28      2.2%
Miner.spawn                              0.20        0.06          3.44      0.32      1.8%
Miner._spawn                             0.19        0.03          6.19      0.31      1.7%
LinkKeeper.doJob                         0.18        0.06          3.00      0.45      1.6%
Wally.spawn                              0.11        0.03          3.42      0.66      1.0%
Defender.doJob                           0.11        0.05          2.00      0.35      1.0%
TerminalMarket.buyPixel                  0.10        0.10          1.00      0.18      0.9%
Builder.spawn                            0.08        0.02          3.42      0.11      0.7%
Debitor.spawn                            0.07        0.02          3.44      0.12      0.7%
Filler.spawn                             0.07        0.02          3.45      0.32      0.7%
Debitor._spawn                           0.07        0.04          1.68      0.12      0.6%
Upgrader.spawn                           0.07        0.02          3.42      0.10      0.6%
Collector._deliver                       0.06        0.27          0.22      0.87      0.5%
Claimer.spawn                            0.06        0.02          3.43      0.29      0.5%
LinkKeeper.spawn                         0.05        0.02          3.44      0.13      0.5%
Collector.spawn                          0.05        0.01          3.42      0.14      0.4%
TerminalMarket.averageHistoryPrice       0.04        0.05          0.80      0.09      0.4%
Collector._collectMineralContainer       0.03        0.01          3.05      0.25      0.3%
Collector._collectSellable               0.02        0.01          3.05      0.04      0.2%
Collector._terminalHasRoom               0.02        0.01          3.05      0.03      0.2%
Defender._defend                         0.02        0.01          1.51      0.06      0.1%
DefenceController.check                  0.01        0.01          1.00      0.03      0.1%
Upgrader._mayWork                        0.01        0.00          4.55      0.03      0.1%
Collector._mineralContainerId            0.01        0.00          3.05      0.03      0.1%
Collector._collectTerminalEnergy         0.01        0.00          3.05      0.02      0.1%
TerminalMarket.sell                      0.01        0.01          1.00      0.03      0.1%
DefenceController.resolveTowers          0.00        0.01          0.42      0.01      0.0%
Transfer.spawn                           0.00        0.00          3.44      0.00      0.0%
Repairer.spawn                           0.00        0.00          3.42      0.01      0.0%
ExtUpgrader.spawn                        0.00        0.00          3.42      0.03      0.0%
Defender.spawn                           0.00        0.00          3.42      0.00      0.0%
Upgrader.bodyFor                         0.00        0.00          0.40      0.00      0.0%
Debitor.recordRoundTrip                  0.00        0.01          0.05      0.01      0.0%
Miner._clearMemory                       0.00        0.06          0.01      0.06      0.0%

== Creeps ==
Name                  CPU/Tick  CPU/Aufruf  Aufrufe/Tick       Max   Anteil%
----------------------------------------------------------------------------
filler_82121950           0.43        0.47          0.92      1.22      3.9%
filler_82122095           0.41        0.41          1.00      1.07      3.7%
filler_82122490           0.37        0.37          1.00      1.12      3.4%
debitor_82122565          0.27        0.27          1.00      0.95      2.4%
debitor_82122885          0.26        0.26          1.00      1.50      2.3%
wally_82123360            0.26        0.26          1.00      0.40      2.3%
debitor_82123275          0.25        0.25          1.00      1.25      2.3%
upgrader_82123225         0.25        0.25          1.00      0.70      2.2%
debitor_82122750          0.25        0.25          1.00      0.76      2.2%
upgrader_82122330         0.24        0.24          1.00      0.57      2.2%
upgrader_82123100         0.23        0.23          1.00      0.27      2.1%
wally_82123420            0.23        0.47          0.49      0.84      2.1%
debitor_82122420          0.23        0.23          1.00      0.93      2.1%
claimer_82123245          0.22        0.22          1.00      0.24      2.0%
claimer_82123450          0.22        0.22          1.00      0.62      2.0%
claimer_82123410          0.22        0.22          1.00      0.23      2.0%
claimer_82123475          0.20        0.22          0.91      1.02      1.8%
wally_82121915            0.18        0.41          0.44      1.37      1.6%
miner_82123350            0.17        0.20          0.84      0.56      1.5%
collector_82122970        0.16        0.16          1.00      0.68      1.5%
upgrader_82121890         0.15        0.28          0.56      0.36      1.4%
filler_82122030           0.15        0.15          1.00      0.65      1.4%
claimer_82123495          0.15        0.21          0.71      0.60      1.3%
miner_82123250            0.15        0.15          1.00      0.49      1.3%
upgrader_82121895         0.14        0.24          0.61      0.33      1.3%
miner_82123075            0.14        0.14          1.00      0.46      1.3%
