
    Tick   Ticks   Modus   CPU/Tick   CPU/Max   CPU/Raum   CPU/Creep    Bucket-Ø   Bucket-Min   Räume   Creeps
--------------------------------------------------------------------------------------------------------------
82060047     100    full       9.28     17.28       1.03        0.20        6825            7    9.00    46.47
82060147     100    full       9.98     17.37       1.11        0.22         774          329    9.00    45.60
82060247     100    full       8.92     16.40       0.99        0.21        1741         1241    9.00    42.67
82060347     100    full       9.36     17.44       1.04        0.22        2765         2254    9.00    43.43
82060447     100    full      10.30     16.91       1.14        0.23        3650         3224    9.00    44.17
82060547     100    full       9.40     15.99       1.04        0.21        4568         4104    9.00    45.12
82060647     100    full       9.34     17.14       1.04        0.21        5569         5073    9.00    44.95
82060747     100    full       9.79     16.08       1.09        0.22        6505         6048    9.00    44.09
82060847     100    full       9.03     16.30       1.00        0.21        7471         6981    9.00    43.48
82060947     100    full       8.98     15.93       1.00        0.21        8499         7989    9.00    43.62
82061047     100    full       8.99     15.17       1.00        0.21        9482         9003    9.00    43.05
82061147     100    full       8.27     16.60       0.92        0.20         738           11    9.00    41.61
82061247     100    full       8.78     16.90       0.98        0.21        1597         1074    9.00    42.55
82061347     100    full       9.25     16.81       1.03        0.21        2590         2102    9.00    43.55
82061447     100    full       9.51     20.52       1.06        0.22        3549         3089    9.00    43.11
82061547     100    full       8.97     15.92       1.00        0.21        4557         4045    9.00    42.88
82061647     100    full       9.56     17.70       1.06        0.22        5533         5063    9.00    43.07
82061747     100    full       8.79     15.04       0.98        0.21        6526         6021    9.00    42.30
82061847     100    full       8.34     18.79       0.93        0.21        7587         7057    9.00    39.69
82061947     100    full       7.95     13.41       0.88        0.21        8689         8137    9.00    38.19
82062047     100    full       7.87     14.33       0.87        0.20        6620            8    9.00    39.72
82062147     100    full       8.48     14.70       0.94        0.21         904          375    9.00    39.87
82062247     100    full       8.26     13.92       0.92        0.20        1978         1441    9.00    40.34
82062347     100    full       8.55     15.32       0.95        0.20        3053         2526    9.00    41.97
82062447     100    full       8.98     16.52       1.00        0.22        4087         3582    9.00    40.03
82062547     100    full       8.79     14.64       0.98        0.23        5109         4604    9.00    38.62
82062647     100    full       8.36     14.88       0.93        0.22        6192         5641    9.00    38.17
82062747     100    full       8.60     15.61       0.96        0.22        7239         6722    9.00    39.09
82062847     100    full       8.61     15.39       0.96        0.22        8292         7771    9.00    39.48
82062947     100    full       8.83     16.12       0.98        0.22        9338         8827    9.00    39.75
82063047     100    full       8.39     15.57       0.93        0.21        1990           12    9.00    39.66
82063147     100    full       9.19     18.94       1.02        0.23        1395          913    9.00    40.00
82063247     100    full       9.08     15.97       1.01        0.22        2396         1905    9.00    40.62
82063347     100    full       8.81     15.40       0.98        0.22        3423         2909    9.00    40.37
82063447     100    full       8.50     14.55       0.94        0.22        4458         3942    9.00    38.05
82063547     100    full       7.51     12.49       0.83        0.21        5584         5005    9.00    36.56
82063647     100    full       8.39     16.84       0.93        0.21        6689         6167    9.00    40.21
82063747     100    full       8.54     14.88       0.95        0.21        7761         7239    9.00    40.90
82063847     100    full       8.80     19.31       0.98        0.20        8809         8299    9.00    43.99
82063947     100    full       7.80     13.50       0.87        0.18        6272           13    9.00    42.60
82064047     100    full       9.19     16.49       1.02        0.21         925          434    9.00    43.95
82064147     100    full       8.77     15.46       0.97        0.20        1941         1427    9.00    43.84
82064247     100    full       8.28     15.25       0.92        0.18        3005         2461    9.00    45.01
82064347     100    full       8.52     15.44       0.95        0.19        4068         3547    9.00    45.41
82064447     100    full       8.77     16.05       0.97        0.19        5122         4609    9.00    45.79
82064547     100    full       8.66     14.73       0.96        0.19        6162         5648    9.00    46.31
82064647     100    full       9.79     18.29       1.09        0.20        7153         6689    9.00    49.38
82064747     100    full       9.24     16.11       1.03        0.19        8103         7621    9.00    49.51
82064847     100    full       9.35     16.37       1.04        0.19        9100         8611    9.00    50.13
82064947     100    full       9.51     16.46       1.06        0.18        4841            6    9.00    52.32
82065047     100    full       9.64     18.16       1.07        0.19         995          534    9.00    51.62
82065147     100    full       8.65     15.67       0.96        0.17        2012         1481    9.00    51.11
82065247     100    full       9.73     16.81       1.08        0.19        2995         2526    9.00    51.01
82065347     100    full       9.86     17.38       1.10        0.21        3916         3461    9.00    46.09
82065447     100    full       9.14     16.52       1.02        0.20        4887         4391    9.00    46.63
82065547     100    full      10.01     18.21       1.11        0.22        5836         5390    9.00    45.82
82065647     100    full       9.15     16.16       1.02        0.21        6784         6302    9.00    44.18
82065747     100    full       8.87     14.83       0.99        0.20        7799         7302    9.00    44.99
82065847     100    full       9.80     17.92       1.09        0.21        8811         8328    9.00    46.06
82065947     100    full      10.15     16.14       1.13        0.21        8296           11    9.00    47.60
82066047     100    full       9.04     16.74       1.00        0.19         643          145    9.00    47.50
82066147     100    full       9.66     16.82       1.07        0.21        1625         1149    9.00    45.56
82066247     100    full       9.91     17.76       1.10        0.21        2536         2093    9.00    46.45
82066347     100    full       8.37     17.38       0.93        0.19        3539         3015    9.00    44.91
82066447     100    full       9.83     15.57       1.09        0.22        4574         4092    9.00    45.26
82066547     100    full      10.22     18.77       1.14        0.22        5443         5019    9.00    46.96
82066647     100    full       9.32     17.28       1.04        0.21        6393         5910    9.00    44.79
82066747     100    full       9.25     14.89       1.03        0.21        7377         6887    9.00    44.02
82066847     100    full       9.54     17.03       1.06        0.21        8350         7875    9.00    44.85
82066947     100    full       9.52     19.73       1.06        0.20        9303         8835    9.00    48.06
82067047     100    full       9.93     18.05       1.10        0.21        2654           11    9.00    48.23
82067147     100    full      10.50     16.66       1.17        0.23        1110          699    9.00    46.09
82067247     100    full       9.27     14.68       1.03        0.20        2044         1562    9.00    47.25
82067347     100    full       9.62     17.80       1.07        0.20        3023         2541    9.00    47.74
82067447     100    full       9.97     17.75       1.11        0.21        3938         3490    9.00    48.47
82067547     100    full       9.65     15.74       1.07        0.19        4872         4403    9.00    49.65
82067647     100    full      10.10     16.35       1.12        0.20        5801         5348    9.00    49.93
82067747     100    full      10.31     18.91       1.15        0.21        6685         6248    9.00    49.79
82067847     100    full       9.72     18.18       1.08        0.19        7584         7124    9.00    50.11
82067947     100    full       9.31     16.46       1.03        0.19        8548         8060    9.00    49.13
82068047     100    full       9.99     17.30       1.11        0.20        9482         9036    9.00    49.32
82068147     100    full       9.18     17.47       1.02        0.19        1152           11    9.00    49.15
82068247     100    full       9.55     16.47       1.06        0.20        1419          934    9.00    48.22
82068347     100    full       9.09     15.92       1.01        0.19        2374         1888    9.00    47.45
82068447     100    full       8.75     15.97       0.97        0.19        3405         2891    9.00    45.63
82068547     100    full       9.23     16.51       1.03        0.20        4430         3927    9.00    45.03
82068647     100    full      10.41     21.07       1.16        0.22        5345         4914    9.00    48.07
82068747     100    full       9.27     15.76       1.03        0.20        6273         5790    9.00    46.17
82068847     100    full       9.55     14.92       1.06        0.21        7255         6777    9.00    45.44
82068947     100    full      10.24     16.57       1.14        0.22        8182         7732    9.00    46.60
82069047     100    full       9.94     16.49       1.10        0.21        9070         8619    9.00    46.43
82069147     100    full       9.09     16.78       1.01        0.20        5111           11    9.00    45.94
82069247     100    full       9.41     17.69       1.05        0.21        1016          533    9.00    44.45
82069347     100    full       8.97     15.75       1.00        0.20        2007         1504    9.00    44.59
82069447     100    full       9.24     17.84       1.03        0.20        3015         2520    9.00    46.04
82069547     100    full       9.53     16.36       1.06        0.21        3970         3506    9.00    44.67
82069647     100    full       9.06     15.21       1.01        0.20        4962         4467    9.00    44.33
82069747     100    full       9.44     16.05       1.05        0.21        5962         5474    9.00    45.18
82069847     100    full       9.61     16.35       1.07        0.21        6908         6440    9.00    44.75
82069947     100    full       8.75     17.07       0.97        0.20        7890         7391    9.00    43.95
82070047     100    full       9.28     23.97       1.03        0.20        8927         8422    9.00    45.52
82070147     100    full      10.82     20.14       1.20        0.22        7506            9    9.00    48.58
82070247     100    full       9.53     15.78       1.06        0.21         716          234    9.00    46.44
82070347     100    full       9.91     19.62       1.10        0.22        1655         1191    9.00    44.53
82070447     100    full      10.01     22.24       1.11        0.22        2568         2112    9.00    44.85
82070547     100    full      10.26     18.42       1.14        0.22        3442         3016    9.00    46.49
82070647     100    full       9.61     19.77       1.07        0.20        4374         3898    9.00    47.24
82070747     100    full       8.31     15.00       0.92        0.18        5374         4851    9.00    45.77
82070847     100    full       9.17     16.80       1.02        0.19        6433         5932    9.00    48.26
82070947     100    full       9.67     16.31       1.07        0.20        7400         6923    9.00    48.28
82071047     100    full       9.72     16.65       1.08        0.20        8325         7869    9.00    48.31
82071147     100    full       9.72     18.62       1.08        0.20        9262         8806    9.00    48.78
82071247     100    full       8.73     18.15       0.97        0.18        2958           12    9.00    47.73
82071347     100    full       9.57     17.22       1.06        0.20        1249          775    9.00    47.63
82071447     100    full       9.19     18.45       1.02        0.20        2220         1732    9.00    46.98
82071547     100    full       8.33     15.61       0.93        0.19        3254         2724    9.00    44.13
82071647     100    full       9.55     17.02       1.06        0.22        4284         3802    9.00    44.31
82071747     100    full       9.24     15.76       1.03        0.21        5246         4758    9.00    43.90
82071847     100    full       8.82     14.34       0.98        0.20        6263         5749    9.00    43.83
82071947     100    full       9.84     15.92       1.09        0.23        7239         6779    9.00    43.52
82072047     100    full       9.35     15.42       1.04        0.21        8197         7707    9.00    43.56
82072147     100    full       9.54     16.40       1.06        0.22        9151         8680    9.00    43.71
82072247     100    full       8.51     14.60       0.95        0.20        3949            9    9.00    42.54
82072347     100    full       8.52     16.46       0.95        0.22        1211          686    9.00    39.65
82072447     100    full       8.57     14.00       0.95        0.21        2268         1746    9.00    41.53
82072547     100    full       9.06     16.48       1.01        0.21        3297         2800    9.00    42.84
82072647     100    full       9.50     25.59       1.06        0.21        4283         3807    9.00    45.40
82072747     100    full       9.67     16.33       1.07        0.21        5229         4769    9.00    46.00
82072847     100    full       9.73     16.42       1.08        0.21        6179         5713    9.00    46.39
82072947     100    full       9.16     15.43       1.02        0.20        7139         6651    9.00    45.44
82073047     100    full       9.09     15.50       1.01        0.20        8141         7643    9.00    46.02
82073147     100    full       9.31     18.95       1.03        0.20        9142         8644    9.00    46.18
82073247     100    full       9.88     17.92       1.10        0.20        4659            9    9.00    49.42
82073347     100    full       9.62     15.52       1.07        0.20         978          526    9.00    46.98
82073447     100    full       9.52     16.89       1.06        0.20        1974         1476    9.00    46.57
82073547     100    full      10.32     17.63       1.15        0.22        2864         2436    9.00    47.86
82073647     100    full       9.68     17.52       1.08        0.19        3781         3316    9.00    49.73
82073747     100    full      10.03     15.97       1.11        0.20        4711         4260    9.00    50.17
82073847     100    full      10.64     25.81       1.18        0.21        5595         5170    9.00    51.43
82073947     100    full      10.26     23.11       1.14        0.20        6453         6017    9.00    52.07
82074047     100    full      10.20     23.84       1.13        0.19        7343         6897    9.00    52.38
82074147     100    full      10.56     33.50       1.17        0.21        8214         7792    9.00    50.53
82074247     100    full      10.05     16.17       1.12        0.20        9098         8649    9.00    50.94
82074347     100    full       9.15     16.11       1.02        0.18        5031           12    9.00    49.74
82074447     100    full       9.36     15.78       1.04        0.19        1035          552    9.00    48.04
82074547     100    full       9.59     16.17       1.07        0.19        1994         1523    9.00    49.40
82074647     100    full       9.90     16.62       1.10        0.21        2929         2473    9.00    48.28
82074747     100    full       9.08     15.70       1.01        0.20        3887         3397    9.00    44.49
82074847     100    full       9.24     15.79       1.03        0.20        4912         4404    9.00    45.38
82074947     100    full       9.49     17.56       1.05        0.21        5862         5392    9.00    45.98
82075047     100    full      10.00     16.98       1.11        0.21        6810         6353    9.00    47.23
82075147     100    full      10.00     17.20       1.11        0.22        7719         7266    9.00    46.42
82075247     100    full       9.53     18.26       1.06        0.21        8645         8177    9.00    45.93
82075347     100    full       9.19     17.59       1.02        0.21        8719            9    9.00    44.18
82075447     100    full       8.74     15.24       0.97        0.21         628          105    9.00    42.42
82075547     100    full       8.66     14.52       0.96        0.21        1662         1147    9.00    41.38
82075647     100    full       9.27     16.52       1.03        0.22        2687         2193    9.00    42.44
82075747     100    full       9.24     15.89       1.03        0.21        3667         3176    9.00    43.60
82075847     100    full       9.11     16.65       1.01        0.21        4653         4165    9.00    44.32
82075947     100    full       9.44     16.12       1.05        0.21        5642         5162    9.00    44.62
82076047     100    full       8.84     16.61       0.98        0.20        6631         6131    9.00    43.55
82076147     100    full       9.27     15.59       1.03        0.21        7651         7160    9.00    44.05
82076247     100    full       9.98     23.40       1.11        0.22        8628         8146    9.00    45.95
82076347     100    full      10.40     20.81       1.16        0.22        9495         9060    9.00    48.14
82076447     100    full       9.62     15.52       1.07        0.20        1491            9    9.00    47.39
82076547     100    full      10.30     16.40       1.14        0.23        1307          868    9.00    45.73
82076647     100    full      10.03     16.72       1.11        0.21        2164         1748    9.00    47.86
82076747     100    full       9.41     18.09       1.05        0.19        3127         2636    9.00    48.63
82076847     100    full       9.38     20.31       1.04        0.19        4080         3605    9.00    49.41
82076947     100    full       9.27     16.72       1.03        0.19        5072         4578    9.00    48.57
82077047     100    full       9.71     17.86       1.08        0.20        6034         5560    9.00    49.46
82077147     100    full       9.74     16.39       1.08        0.19        6980         6501    9.00    50.18
82077247     100    full      10.58     19.38       1.18        0.20        7867         7440    9.00    54.13
82077347     100    full      10.52     19.59       1.17        0.19        8710         8293    9.00    54.63
82077447     100    full       9.95     17.11       1.11        0.18        9304           10    9.00    53.97
82077547     100    full       9.33     17.71       1.04        0.18         539           40    9.00    51.76
82077647     100    full       9.38     16.09       1.04        0.19        1495         1018    9.00    49.14
82077747     100    full       9.57     23.75       1.06        0.20        2470         1990    9.00    48.64
82077847     100    full       9.85     19.46       1.09        0.21        3414         2948    9.00    46.53
82077947     100    full       9.57     18.71       1.06        0.21        4344         3878    9.00    46.24
82078047     100    full       8.59     15.67       0.95        0.19        5354         4836    9.00    44.78
82078147     100    full      10.05     17.02       1.12        0.22        6353         5887    9.00    46.34
82078247     100    full      10.00     17.58       1.11        0.22        7235         6796    9.00    46.46
82078347     100    full       9.88     18.96       1.10        0.22        8163         7706    9.00    45.95
82078447     100    full       9.44     16.19       1.05        0.21        9108         8631    9.00    44.49
82078547     100    full       8.79     19.46       0.98        0.20        4772           11    9.00    44.57
82078647     100    full       8.93     15.36       0.99        0.20        1098          597    9.00    44.35
82078747     100    full       9.38     17.81       1.04        0.22        2090         1607    9.00    43.37
82078847     100    full       9.45     16.03       1.05        0.21        3049         2580    9.00    44.04
